GeneID	PathwayID	Symbol
1000	path:hsa04514	CDH2
1001	path:hsa04514	CDH3
100132463	path:hsa04514	CLDN24
1002	path:hsa04514	CDH4
1003	path:hsa04514	CDH5
100506658	path:hsa04514	OCLN
1013	path:hsa04514	CDH15
102723996	path:hsa04514	LOC102723996
10666	path:hsa04514	CD226
10686	path:hsa04514	CLDN16
1272	path:hsa04514	CNTN1
1364	path:hsa04514	CLDN4
1365	path:hsa04514	CLDN3
1366	path:hsa04514	CLDN7
137075	path:hsa04514	CLDN23
1462	path:hsa04514	VCAN
1493	path:hsa04514	CTLA4
149461	path:hsa04514	CLDN19
152404	path:hsa04514	IGSF11
201633	path:hsa04514	TIGIT
214	path:hsa04514	ALCAM
22829	path:hsa04514	NLGN4Y
22854	path:hsa04514	NTNG1
22871	path:hsa04514	NLGN1
23114	path:hsa04514	NFASC
23308	path:hsa04514	ICOSLG
23562	path:hsa04514	CLDN14
23705	path:hsa04514	CADM1
24146	path:hsa04514	CLDN15
257194	path:hsa04514	NEGR1
25945	path:hsa04514	NECTIN3
26047	path:hsa04514	CNTNAP2
26285	path:hsa04514	CLDN17
2734	path:hsa04514	GLG1
29126	path:hsa04514	CD274
29851	path:hsa04514	ICOS
3105	path:hsa04514	HLA-A
3106	path:hsa04514	HLA-B
3107	path:hsa04514	HLA-C
3108	path:hsa04514	HLA-DMA
3109	path:hsa04514	HLA-DMB
3111	path:hsa04514	HLA-DOA
3112	path:hsa04514	HLA-DOB
3113	path:hsa04514	HLA-DPA1
3115	path:hsa04514	HLA-DPB1
3117	path:hsa04514	HLA-DQA1
3118	path:hsa04514	HLA-DQA2
3119	path:hsa04514	HLA-DQB1
3122	path:hsa04514	HLA-DRA
3123	path:hsa04514	HLA-DRB1
3125	path:hsa04514	HLA-DRB3
3126	path:hsa04514	HLA-DRB4
3127	path:hsa04514	HLA-DRB5
3133	path:hsa04514	HLA-E
3134	path:hsa04514	HLA-F
3135	path:hsa04514	HLA-G
3383	path:hsa04514	ICAM1
3384	path:hsa04514	ICAM2
3385	path:hsa04514	ICAM3
3655	path:hsa04514	ITGA6
3676	path:hsa04514	ITGA4
3680	path:hsa04514	ITGA9
3683	path:hsa04514	ITGAL
3684	path:hsa04514	ITGAM
3685	path:hsa04514	ITGAV
3688	path:hsa04514	ITGB1
3689	path:hsa04514	ITGB2
3695	path:hsa04514	ITGB7
3696	path:hsa04514	ITGB8
3897	path:hsa04514	L1CAM
4099	path:hsa04514	MAG
4267	path:hsa04514	CD99
4359	path:hsa04514	MPZ
4684	path:hsa04514	NCAM1
4685	path:hsa04514	NCAM2
4756	path:hsa04514	NEO1
4897	path:hsa04514	NRCAM
49861	path:hsa04514	CLDN20
